Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Africa,,2001,23.688,1.278,15.417,-18.145,1.29,134.874,6.769,2.253
Africa,,2002,18.248,-4.252,6.006,11.145,1.817,6.161,4.659,-2.728
Africa,,2003,17.515,8.844,6.233,4.927,2.672,20.951,-3.334,13.96
Africa,,2004,18.486,9.991,8.867,4.872,4.761,41.238,4.798,13.068
Africa,,2005,17.152,-7.177,3.74,-16.041,5.042,1.059,1.255,0.389
Africa,,2006,24.788,1.419,4.362,-11.775,0.687,8.285,2.913,24.438
Africa,,2007,30.359,1.654,6.454,12.171,3.346,18.451,2.715,-17.167
Africa,,2008,39.998,10.213,4.375,14.193,5.615,28.321,1.272,3.313
Africa,,2009,29.834,-0.429,0.842,-2.13,3.647,20.404,2.046,8.232
Africa,,2010,116.508,-0.876,3.495,4.982,5.006,42.802,7.023,6.83
Africa,,2011,110.468,-1.676,8.382,-5.202,-2.712,10.412,2.182,1.989
Africa,,2012,20.985,-2.494,7.368,-0.102,5.444,16.012,-0.149,3.448
Africa,,2013,48.67,1.304,1.323,8.125,3.571,19.469,5.418,7.875
Africa,,2014,120.822,4.761,2.797,-2.797,1.675,44.032,4.515,24.347
Africa,,2015,95.178,-5.567,7.146,-11.816,2.265,71.291,-3.704,27.748
Africa,,2016,36.554,6.135,2.773,29.274,0.899,26.446,-3.955,0.395
Africa,,2017,40.566,-0.387,6.109,-1.57,0.576,9.544,6.292,4.435
Africa,,2018,40.214,3.481,6.228,-30.025,1.04,14.015,4.692,5.83
Africa,,2019,96.001,1.522,0.884,27.694,2.534,22.087,1.425,1.173
Africa,,1966,,-0.116,11.8,,9.453,,11.538,
Africa,,1967,,2.219,-1.164,,-0.806,,4.388,
Africa,,1968,,4.003,1.359,,5.528,,16.971,
Africa,,1969,,0.911,16.868,,1.377,,16.699,
Africa,,1970,,4.072,24.242,,10.533,,25.02,
Africa,,1971,,6.169,18.588,,13.058,,-5.852,
Africa,,1972,,0.313,34.041,,8.39,,13.915,0.61
Africa,,1973,,6.429,60.319,,7.551,,5.779,3.03
Africa,,1974,,4.093,12.557,,3.371,,13.786,2.941
Africa,,1975,,5.975,20.486,,4.63,,5.75,-1.714
Africa,,1976,,6.649,13.69,,11.03,,10.816,7.558
Africa,,1977,,2.208,11.893,,5.874,,9.884,2.162
Africa,,1978,,-2.823,42.7,,5.284,,0.823,3.175
Africa,,1979,,6.16,52.863,,6.635,,7.036,3.077
Africa,,1980,,7.158,25.578,,5.811,,-2.529,2.985
Africa,,1981,,16.97,22.244,,6.424,,3.894,5.314
Africa,,1982,,10.283,7.984,,4.982,,0.027,8.257
Africa,,1983,,1.721,9.947,,3.397,,-9.877,-2.542
Africa,,1984,,6.961,-4.192,,2.13,,-1.673,1.739
Africa,,1985,,3.181,7.287,35.414,2.248,,11.148,14.957
Africa,,1986,,2.311,12.347,65.626,-1.482,,3.429,144.981
Africa,,1987,,2.851,3.228,-29.944,5.056,,-4.084,-0.152
Africa,,1988,,7.466,10.842,70.148,4.664,,9.249,-4.863
Africa,,1989,,-6.127,3.634,5.775,3.69,,5.006,-1.438
Africa,,1990,,5.049,7.315,-23.876,1.579,,1.739,24.106
Africa,,1991,,-2.804,0.75,8.226,0.692,,5.933,2.908
Africa,,1992,,0.598,4.889,1.575,2.307,,-4.602,4.6
Africa,,1993,,1.551,-2.048,-21.888,1.164,,-2.036,11.095
Africa,,1994,,2.588,4.649,33.66,2.306,170,1.612,-10.342
Africa,,1995,,3.09,6.812,16.541,3.498,16.667,3.773,24.324
Africa,,1996,,1.383,4.975,4.194,2.488,12.698,4.262,23.454
Africa,,1997,,2.543,-2.007,7.406,2.712,1.408,2.465,10.201
Africa,,1998,,-2.297,5.24,7.543,2.418,5.556,4.389,23.47
Africa,,1999,,3.116,0.938,-5.617,3.591,160.526,6.045,-1.075
Africa,,2000,,-0.229,10.476,1.348,0.556,788.889,6.453,33.779
Algeria,DZA,2011,97.893,-11.29,5.803,,6.764,,117.165,
Algeria,DZA,2012,46.594,6.182,11.483,,6.33,,2.286,
Algeria,DZA,2013,6.379,-45.89,7.523,,4.492,,-74.703,
Algeria,DZA,2014,108.534,13.291,12.36,,3.909,,93.782,
Algeria,DZA,2015,-3.909,-25.698,5.072,,6.409,1788.693,-25.318,
Algeria,DZA,2016,319.914,-63.158,1.777,,-2.84,-0.32,-50.639,
Algeria,DZA,2017,104.504,271.429,2.244,,-1.795,-0.86,-22.68,
Algeria,DZA,2018,18.943,174.725,10,,2.233,-47.676,107.707,
Algeria,DZA,2019,1.614,0,4.213,,6.326,-0.369,29.01,
Algeria,DZA,1966,,-2.857,3.886,,31.596,,-11.25,
Algeria,DZA,1967,,-23.529,-2.993,,-6.564,,15.493,
Algeria,DZA,1968,,5.769,5.141,,6.469,,37.317,
Algeria,DZA,1969,,27.273,31.479,,5.646,,-35.879,
Algeria,DZA,1970,,18.571,-5.997,,14.277,,60.665,
Algeria,DZA,1971,,-72.289,13.551,,12.701,,-43.103,
Algeria,DZA,1972,,-13.043,16.115,,9.772,,50,
Algeria,DZA,1973,,15,39.197,,9.226,,51.919,
Algeria,DZA,1974,,-17.391,15.764,,11.074,,-33.91,
Algeria,DZA,1975,,26.316,37.803,,11.183,,-34.004,
Algeria,DZA,1976,,95.833,18.243,,14.981,,18.598,
Algeria,DZA,1977,,29.787,6.571,,13.033,,-30.848,
Algeria,DZA,1978,,-49.18,60.59,,3.411,,-7.063,
Algeria,DZA,1979,,132.258,41.402,,19.614,,16.4,
Algeria,DZA,1980,,-11.111,34.238,,1.353,,-11.684,
Algeria,DZA,1981,,-29.688,29.991,,7.735,,42.412,
Algeria,DZA,1982,,1755.556,13.464,,5.959,,30.874,
Algeria,DZA,1983,,-10.778,9.481,,12.331,,-50.939,
Algeria,DZA,1984,,10.872,-12.146,,10.731,,92.34,
Algeria,DZA,1985,,4.358,-0.93,,2.715,,42.92,
Algeria,DZA,1986,,2.668,9.512,,1.52,,-61.3,
Algeria,DZA,1987,,19.548,2.286,,1.101,,99.6,
Algeria,DZA,1988,,-5.955,12.682,,0.073,,-63.327,
Algeria,DZA,1989,,-15.477,-5.9,,4.804,,23.497,
Algeria,DZA,1990,,-21.641,6.797,,7.577,,-40.265,
Algeria,DZA,1991,,3.187,-1.233,,-1.059,,117.037,
Algeria,DZA,1992,,18.824,3.247,,0.601,,-32.082,
Algeria,DZA,1993,,-18.564,-10.256,,-0.483,,77.387,
Algeria,DZA,1994,,-5.775,5.391,,-4.247,,-52.975,
Algeria,DZA,1995,,0,7.468,,-2.743,,16.265,
Algeria,DZA,1996,,-52.903,2.713,,-4.576,,-30.052,
Algeria,DZA,1997,,75.342,-6.58,,-0.791,,-44.444,
Algeria,DZA,1998,,7.031,3.423,,3.088,,186.667,
Algeria,DZA,1999,,7.117,2.206,,-1.749,,-5.581,
Algeria,DZA,2000,,-17.376,-6.872,,4.281,,-73.399,
Algeria,DZA,2001,,15.464,3.303,,3.532,,26.948,
Algeria,DZA,2002,,31.25,-1.258,,10.884,,-17.924,
Algeria,DZA,2003,,-17.551,5.693,,4.035,,361.932,
Algeria,DZA,2004,,19.307,2.898,,4.524,,-5.886,
Algeria,DZA,2005,,-17.842,5.503,,4.246,,119.835,
Algeria,DZA,2006,,48.485,2.209,,4.197,,-61.06,
Algeria,DZA,2007,,-14.172,2.324,,11.83,,3.211,
Algeria,DZA,2008,,0,4.378,,8.649,,24.443,
Algeria,DZA,2009,,-35.799,7.407,,6.014,,20.102,
Algeria,DZA,2010,,-36.214,-3.375,,-0.048,,-49.726,
Argentina,ARG,1999,52.941,20.007,6.064,-4.656,-6.89,6.884,-18.172,40.22
Argentina,ARG,2000,38.462,-24.003,2.627,-13.073,1.006,-0.066,28.285,3.776
Argentina,ARG,2001,18.669,-18.047,-6.384,13.537,-3.662,41.091,22.322,-10.318
Argentina,ARG,2002,8.597,-25.509,-2.638,-18.07,-7.825,47.751,-1.679,38.639
Argentina,ARG,2003,37.411,21.969,14.239,29.144,2.918,5.516,-6.36,18.504
Argentina,ARG,2004,7.006,70.183,9.456,3.342,5.202,-7.658,-9.986,-11.786
Argentina,ARG,2005,14.982,15.146,6.737,-13.21,6.293,-1.629,10.446,18.547
Argentina,ARG,2006,10.412,-9.468,3.465,11.632,5.125,-3.51,10.164,45.014
Argentina,ARG,2007,20.244,44.706,5.072,-6.636,11.078,-12.108,-14.026,-0.099
Argentina,ARG,2008,31.136,21.975,1.116,1.297,2.838,-32.313,-2.048,6.81
Argentina,ARG,2009,-47.381,-45.074,-3.133,9.988,-2.066,-12.746,8.958,1.45
Argentina,ARG,2010,12.196,40.029,0.602,-12.431,12.197,-31.591,-1.198,15.742
Argentina,ARG,2011,1767.684,8.511,4.164,-11.776,0.141,4.247,-2.821,8.126
Argentina,ARG,2012,403.312,-6.495,4.162,-0.575,3.972,1282.525,-7.539,11.357
Argentina,ARG,2013,83.327,9.292,0.796,-3.63,7.199,21.836,9.705,-0.459
Argentina,ARG,2014,5.138,6.375,0.277,-11.697,-1.954,35.828,-0.198,-6.882
Argentina,ARG,2015,-8.457,-0.488,1.078,26.897,2.862,-4.792,1.611,2.697
Argentina,ARG,2016,-3.367,-22.926,3.338,17.005,-2.156,-8.295,-8.96,-17.932
Argentina,ARG,2017,14.345,2.762,0.187,-26.95,-2.638,11.073,7.958,20.69
Argentina,ARG,2018,554.795,9.452,0.837,12.218,-4.454,129.653,-0.334,3.946
Argentina,ARG,2019,636.844,-53.697,-2.492,22.392,-1.491,252.332,-11.328,-4.165
Argentina,ARG,1966,,-17.543,8.302,,3.239,,1.306,
Argentina,ARG,1967,,12.458,4.573,,2.466,,2.417,
Argentina,ARG,1968,,-2.823,11.349,,2.115,,17.86,
Argentina,ARG,1969,,19.729,-0.374,,3.905,,-10.28,
Argentina,ARG,1970,,28.507,13.009,,-10.214,,15.699,
Argentina,ARG,1971,,-12.327,7.957,,6.796,,-0.707,4.888
Argentina,ARG,1972,,-15.823,12.217,,0.136,,-2.591,29.056
Argentina,ARG,1973,,9.77,13.794,,0.343,,99.069,-23.792
Argentina,ARG,1974,,24.529,5.844,,0.351,,67.936,2.091
Argentina,ARG,1975,,-2.663,2.459,142.954,-5.796,,3.441,9.697
Argentina,ARG,1976,,1.144,12.556,2.185,3.881,,-3.615,-8.594
Argentina,ARG,1977,,-5.446,4.442,-36.353,5.422,,15.021,7.275
Argentina,ARG,1978,,21.898,-2.741,76.909,-0.004,,34.443,0.523
Argentina,ARG,1979,,-6.837,2.818,-7.044,5.775,,37.513,55.89
Argentina,ARG,1980,,-10.855,8.979,-13.076,-6.424,,42.064,2.201
Argentina,ARG,1981,,-5.241,4.51,20.342,-7.294,,-3.031,-13.367
Argentina,ARG,1982,,1,13.61,-33.594,-4.084,,19.803,28.358
Argentina,ARG,1983,,-9.245,7.524,82.086,1.801,,4.695,43.167
Argentina,ARG,1984,,-25.772,6.454,36.3,-5.729,,7.932,-29.073
Argentina,ARG,1985,,47.519,2.17,24.24,-9.547,,3.853,6.088
Argentina,ARG,1986,,14.243,8.057,-0.954,14.866,,1.758,3.637
Argentina,ARG,1987,,10.986,0.058,13.203,6.731,,3.96,1.007
Argentina,ARG,1988,,2.475,16.811,-10.317,-0.276,,-31.171,11.982
Argentina,ARG,1989,,8.208,5.045,-13.091,-9.278,,-13.756,-1.436
Argentina,ARG,1990,,-17.692,-4.473,44.493,-5.408,,37.879,-10.566
Argentina,ARG,1991,,-12.001,1.824,6.524,3.024,,-9.258,-6.709
Argentina,ARG,1992,,12.731,8.132,-8.703,5.631,,21.935,2.274
Argentina,ARG,1993,,-33.679,5.595,9.448,-0.951,,19.093,5.471
Argentina,ARG,1994,,-12.452,2.798,6.258,-3.334,,18.753,11.031
Argentina,ARG,1995,,4.94,11.299,-14.196,-0.55,,1.735,-3.1
Argentina,ARG,1996,,4.757,14.746,5.562,3.937,,-8.83,203.997
Argentina,ARG,1997,,-21.104,-7.846,6.73,0.121,51.716,27.307,26.817
Argentina,ARG,1998,,34.429,6.903,-6.381,2.21,123.006,-1.841,4.095
Australia,AUS,1992,122.018,0.594,3.45,,0.442,,1.84,-6.88
Australia,AUS,1993,20.661,0.643,3.681,,5.077,,2.795,0
Australia,AUS,1994,19.178,2.043,11.057,,3.796,175,-1.446,3.955
Australia,AUS,1995,21.552,3.396,0.965,,3.134,27.273,-3.214,18.521
Australia,AUS,1996,21.04,4.088,0.729,,1.561,0,2.159,14.658
Australia,AUS,1997,19.727,5.06,-1.808,,1.802,7.143,-0.1,5.335
Australia,AUS,1998,16.15,4.462,2.952,,-0.123,140,-0.969,8.425
Australia,AUS,1999,14.045,6.199,2.431,,3.109,138.889,3.061,4.857
Australia,AUS,2000,15.148,0.717,1.889,,-0.529,211.628,1.136,-21.526
Australia,AUS,2001,15.077,-1.009,7.853,,0.639,112.788,-2.719,-10.925
Australia,AUS,2002,6.969,2.251,2.912,,-0.329,84.707,-0.821,57.822
Australia,AUS,2003,7.71,2.864,0.787,,-0.065,31.11,0.072,32.693
Australia,AUS,2004,14.692,4.203,1.998,,2.834,12.199,-3.848,65.346
Australia,AUS,2005,14.487,-0.577,-0.83,,-0.657,62.368,-2.033,36.631
Australia,AUS,2006,15.273,2.708,11.54,,8.181,65.39,-3.974,0.95
Australia,AUS,2007,15.937,-0.867,11.86,,-1.187,31.089,-13.233,8.03
Australia,AUS,2008,21.614,4.231,-1.671,,0.127,20.507,-10.018,-14.079
Australia,AUS,2009,107.22,-3.312,2.108,,-0.591,27.524,6.338,-25.067
Australia,AUS,2010,234.772,-7.248,15.95,,-0.892,11.643,8.065,-12.926
Australia,AUS,2011,107.854,-2.525,4.438,,6.498,28.24,41.515,4.78
Australia,AUS,2012,17.257,-6.35,0.305,,3.877,19.375,-13.485,19.625
Australia,AUS,2013,58.55,-5.091,5.037,,1.805,19.136,11.376,6.899
Australia,AUS,2014,27.94,-0.828,7.872,,1.067,4.962,-24.578,5.807
Australia,AUS,2015,24.587,3.551,5.005,,-3.536,20.364,-3.332,3.096
Australia,AUS,2016,19.723,-0.066,-0.905,,0.823,9.383,24.431,-1.263
Australia,AUS,2017,19.13,-3.428,-1.16,,4.569,0.7,-23.868,-3.925
Australia,AUS,2018,36.283,-1.747,0.449,,2.587,23.647,27.79,0.084
Australia,AUS,2019,45.648,-3.331,29.722,,-0.759,18.529,-17.946,0.237
Australia,AUS,1966,,3.644,33.333,,18.182,,-4.483,-4.054
Australia,AUS,1967,,2.799,0,,9.503,,3.55,2.113
Australia,AUS,1968,,2.994,675,,8.916,,4.532,-2.759
Australia,AUS,1969,,3.421,1254.839,,2.806,,9.227,-0.355
Australia,AUS,1970,,1.054,319.338,,10.572,,17.118,-7.117
Australia,AUS,1971,,0.378,49.253,,5.289,,13.143,0.766
Australia,AUS,1972,,4.455,43.55,,1.796,,0.399,6.464
Australia,AUS,1973,,4.139,26.958,,6.707,,6.34,20.714
Australia,AUS,1974,,4.381,14.093,,5.978,,12.926,26.923
Australia,AUS,1975,,3.208,7.389,,-1.032,,7.308,13.986
Australia,AUS,1976,,3.394,18.046,,2.217,,-4.93,-1.022
Australia,AUS,1977,,4.396,14.236,,4.716,,-4.309,-11.364
Australia,AUS,1978,,2.611,7.66,,0.728,,8.354,-5.594
Australia,AUS,1979,,4.532,15.109,,1.73,,-2.925,3.21
Australia,AUS,1980,,2.923,14.828,,-4.092,,-5.471,-7.895
Australia,AUS,1981,,2.579,8.384,,-3.234,,2.968,4.935
Australia,AUS,1982,,1.063,-2.471,,0.461,,-7.904,27.723
Australia,AUS,1983,,-0.037,8.629,,-1.729,,-5.064,-16.473
Australia,AUS,1984,,5.749,-1.383,,4.757,,8.267,2.32
Australia,AUS,1985,,3.438,6.891,,-4.473,,6.206,3.401
Australia,AUS,1986,,2.539,9.24,,2.345,,0.612,0.877
Australia,AUS,1987,,4.205,2.095,,1.904,,-2.937,2.174
Australia,AUS,1988,,5.187,2.409,,4.745,,5.294,55.532
Australia,AUS,1989,,4.881,9.074,,3.595,,-0.564,10.807
Australia,AUS,1990,,2.394,0.53,,1.456,,3.549,-6.235
Australia,AUS,1991,,2.007,-4.136,,-2.765,,6.057,-5.267
Austria,AUT,1994,0,1.418,2.859,,-0.861,,-2.719,-11.061
Austria,AUT,1995,0,13.776,9.184,,-0.231,,3.808,53.419
Austria,AUT,1996,0,0.425,6.439,,3.452,400,-7.692,-14.418
Austria,AUT,1997,100,6.068,-3.621,,1.566,300,5.521,7.672
Austria,AUT,1998,0,-11.959,2.664,,3.821,125,2.93,7.677
Austria,AUT,1999,0,-0.688,2.145,,-1.721,13.333,9.514,-13.342
Austria,AUT,2000,50,13.067,-4.544,,-2.088,31.373,2.793,-4.298
Austria,AUT,2001,65.584,3.301,5.98,,8.511,155.049,-3.927,8.421
Austria,AUT,2002,78.839,1.592,-1.685,,2.11,17.262,-1.206,-9.424
Austria,AUT,2003,65.598,6.658,9.995,,8.207,79.14,-17.96,11.872
Austria,AUT,2004,19.236,-2.043,0.962,,-2.683,150.851,9.975,19.551
Austria,AUT,2005,16.03,-0.297,5.287,,-0.408,43.166,0.267,17.575
Austria,AUT,2006,5.841,-0.086,-6.03,,-0.073,30.834,-4.484,32.004
Austria,AUT,2007,7.594,-3.316,-5.387,,-5.927,15.499,3.272,24.671
Austria,AUT,2008,23.494,-1.211,7.055,,-0.974,-1.886,2.798,5.268
Austria,AUT,2009,61.396,-24.654,-2.609,,-5.042,-3.445,6.038,-1.179
Austria,AUT,2010,80.455,17.579,8.842,,4.404,4.975,-6.769,3.695
Austria,AUT,2011,94.801,2.697,-5.94,,-6.65,-6.758,-11.295,0.578
Austria,AUT,2012,92.703,-7.105,-4.619,,-0.052,26.385,27.161,1.403
Austria,AUT,2013,84.366,1.713,-4.913,,3.187,27.303,-4.591,-1.115
Austria,AUT,2014,24.693,-8.402,-8.408,,-4.078,21.232,-3.049,-5.976
Austria,AUT,2015,18.628,8.076,6.086,,-0.418,25.112,-10.181,3.239
Austria,AUT,2016,16.266,-7.249,4.695,,3.483,7.51,6.891,3.551
Austria,AUT,2017,15.099,3.638,8.723,,1.422,24.796,-4.459,4.279
Austria,AUT,2018,12.629,-8.369,-4.222,,1.358,-8.77,-2.286,-1.946
Austria,AUT,2019,-6.333,5.232,2.458,,2.082,22.845,7.821,-1.743
Austria,AUT,1966,,-4.478,7.373,,9.941,,7.76,
Austria,AUT,1967,,-5.342,-4.194,,6.63,,2.118,
Austria,AUT,1968,,-1.267,6.64,,15.569,,2.752,
Austria,AUT,1969,,-1.587,21.323,,9.902,,-8.067,
Austria,AUT,1970,,7.543,21.299,,10.098,,27.346,
Austria,AUT,1971,,-8.273,14.873,,11.737,,-20.994,
Austria,AUT,1972,,-9.329,8.069,,7.956,,2.779,
Austria,AUT,1973,,-0.612,9.91,,8.368,,11.115,
Austria,AUT,1974,,5.53,8.393,,-10.506,,18.236,
Austria,AUT,1975,,-13.099,-0.12,,1.063,,4.768,
Austria,AUT,1976,,6.423,13.895,,8.575,,-13.572,
Austria,AUT,1977,,-16.111,1.912,,-4.239,,21.177,
Austria,AUT,1978,,1.592,4.015,,7.587,,0.08,
Austria,AUT,1979,,8.551,-0.848,,4.125,,12.654,
Austria,AUT,1980,,2.755,-3.93,,-2.389,,3.606,
Austria,AUT,1981,,2.37,-4.68,,-9.213,,5.968,
Austria,AUT,1982,,-4.89,-3.205,,-5.152,,0.159,
Austria,AUT,1983,,7.074,2.033,,-3.084,,-0.939,
Austria,AUT,1984,,13.952,11.342,,-2.733,,-12.274,
Austria,AUT,1985,,-0.14,7.148,,0.16,,14.621,
Austria,AUT,1986,,-10.848,-2.908,,5.327,,0.418,
Austria,AUT,1987,,-0.801,4.32,,2.956,,14.51,-29.645
Austria,AUT,1988,,-4.24,-4.207,,-0.696,,-0.237,15.582
Austria,AUT,1989,,0.451,7.397,,-1.394,,-0.628,5.491
Austria,AUT,1990,,10.207,10.087,,3.999,,-10.186,3.444
Austria,AUT,1991,,4.894,6.021,,7.946,,-0.208,7.295
Austria,AUT,1992,,-22.193,-1.8,,-2.619,,10.829,8.43
Austria,AUT,1993,,-10.09,5.165,,0.824,,5.329,2.404
Azerbaijan,AZE,2014,260.33,-40,4.801,,-1.826,185.779,-13.242,29.073
Azerbaijan,AZE,2015,57.676,66.667,13.112,,1.488,98.809,25.241,3.861
Azerbaijan,AZE,2016,662.85,-60,-1.937,,-0.666,392.718,18.944,-4.583
Azerbaijan,AZE,2017,4.763,0,-2.873,,0.89,-3.64,-11.39,-2.981
Azerbaijan,AZE,2018,4.921,0,1.876,,4.807,269.771,0.642,-5.313
Azerbaijan,AZE,2019,11.153,0,9,,3.189,63.197,-11.828,-0.369
Azerbaijan,AZE,1986,,0,11.109,,4.766,,-38.721,
Azerbaijan,AZE,1987,,0,-1.234,,-5.884,,0,
Azerbaijan,AZE,1988,,0,-1.25,,2.417,,-13.187,
Azerbaijan,AZE,1989,,0,5.065,,-2.488,,0,
Azerbaijan,AZE,1990,,-3.261,1.986,,4.904,,137.446,
Azerbaijan,AZE,1991,,-24.719,-4.312,,-3.58,,6.11,
Azerbaijan,AZE,1992,,-82.09,-22.227,,-2.564,,-0.682,
Azerbaijan,AZE,1993,,-75,-26.185,,-0.28,,38.843,
Azerbaijan,AZE,1994,,33.333,-6.455,,-8.395,,-24.567,
Azerbaijan,AZE,1995,,-25,-1.152,,-9.844,,-14.973,
Azerbaijan,AZE,1996,,0,-26.739,,-10.177,,-1.221,
Azerbaijan,AZE,1997,,0,-4.764,,-4.829,,11.386,
Azerbaijan,AZE,1998,,-100,-6.682,,5.227,,13.96,
Azerbaijan,AZE,2002,,-33.333,0.284,,-7.935,,54.263,
Azerbaijan,AZE,2003,,50,2.544,,16.269,,21.493,
Azerbaijan,AZE,2004,,-69.333,17.261,,7.853,,10.828,
Azerbaijan,AZE,2005,,250,3.293,,16.905,,8.543,
Azerbaijan,AZE,2006,,0,5.713,,-10.48,,-16.855,
Azerbaijan,AZE,2007,,53.099,-11.954,,-5.704,,-6.703,
Azerbaijan,AZE,2008,,-25,14.409,,-20.052,,-6.17,
Azerbaijan,AZE,2009,,0,-14.614,,-6.749,,2.785,
Azerbaijan,AZE,2010,,50,-4.94,,-1.279,-76.337,48.378,
Azerbaijan,AZE,2011,,-11.111,9.518,,22.568,-100,-22.831,
Azerbaijan,AZE,2012,,-25,4.947,,4.587,,-32.358,
Azerbaijan,AZE,2013,,-16.667,0.444,,8.845,,-18.719,
Azerbaijan,AZE,1999,,,7.161,,-4.129,,-22.809,
Azerbaijan,AZE,2000,,,-3.341,,10.864,,1.859,
Azerbaijan,AZE,2001,,,43.438,,-36.35,,-15.74,
Bangladesh,BGD,2003,794.23,-4.378,7.565,,3.657,,-0.641,
Bangladesh,BGD,2004,109.766,0.143,7.508,,-5.636,,-0.637,
Bangladesh,BGD,2005,77.815,105.164,7.481,,0.633,,-0.633,
Bangladesh,BGD,2006,57.825,51.939,8.294,,1.073,,-0.629,
Bangladesh,BGD,2007,65.625,-18.389,6.774,,-5.44,-0.625,-0.625,
Bangladesh,BGD,2008,67.84,5.262,6.782,,1.6,80.124,26.048,
Bangladesh,BGD,2009,64.113,24.952,14.474,,-6.496,74.777,-56.376,
Bangladesh,BGD,2010,75.411,-36.277,2.704,,11.408,-0.613,73.748,98.773
Bangladesh,BGD,2011,31.025,48.869,1.706,,29.222,-0.61,18.887,49.085
Bangladesh,BGD,2012,54.707,-17.486,8.958,,6.721,-0.606,-11.435,32.525
Bangladesh,BGD,2013,41.675,38.443,2.889,,-2.099,-0.973,-6.822,24.073
Bangladesh,BGD,2014,28.082,-36.88,4.872,,12.28,-0.599,-22.697,19.747
Bangladesh,BGD,2015,18.126,233.126,12.3,,5.838,-0.595,57.612,17.022
Bangladesh,BGD,2016,6.548,-26.024,2.309,,9.442,-0.592,-2.087,8.632
Bangladesh,BGD,2017,28.246,8.382,0.536,,11.974,-0.588,15.695,-0.588
Bangladesh,BGD,2018,7.932,14.288,3.145,,14.353,-0.585,-16.433,-0.585
Bangladesh,BGD,2019,40.722,41.032,25.254,,-4.162,-0.369,-5.241,-0.369
Bangladesh,BGD,1973,,29.947,38.36,,12.996,,89.143,
Bangladesh,BGD,1974,,-11.111,9.943,,4.028,,-26.586,
Bangladesh,BGD,1975,,15.74,0.522,,16.915,,79.424,
Bangladesh,BGD,1976,,-1.2,31.661,,8.195,,13.303,
Bangladesh,BGD,1977,,4.454,11.564,,-1.533,,-11.538,
Bangladesh,BGD,1978,,-3.101,10.365,,6.454,,15.789,
Bangladesh,BGD,1979,,-25.599,15.048,,10.687,,16.008,
Bangladesh,BGD,1980,,33.588,12.616,,12.732,,-0.681,
Bangladesh,BGD,1981,,2.801,-3.577,,3.12,,7.204,
Bangladesh,BGD,1982,,21.141,29.83,,-1.365,,-16.32,
Bangladesh,BGD,1983,,-43.404,11.272,,-10.569,,26.577,
Bangladesh,BGD,1984,,-59.981,15.424,,0.767,,35.498,
Bangladesh,BGD,1985,,39.83,13.567,,11.632,,-17.614,
Bangladesh,BGD,1986,,51.022,12.76,,7.785,,-39.107,
Bangladesh,BGD,1987,,57.431,17.495,,-1.551,,14.889,
Bangladesh,BGD,1988,,3.005,17.699,,0.185,,30.561,
Bangladesh,BGD,1989,,4.167,5.715,,9.329,,36.296,
Bangladesh,BGD,1990,,125.2,7.632,,-3.113,,-3.913,
Bangladesh,BGD,1991,,-68.028,2.985,,-7.221,,-5.204,
Bangladesh,BGD,1992,,-6.111,9.049,,11.547,,-5.012,
Bangladesh,BGD,1993,,-62.722,11.938,,12.019,,-23.618,
Bangladesh,BGD,1994,,-6.349,6.057,,4.221,,39.309,
Bangladesh,BGD,1995,,988.125,10.556,,29.775,,-56.08,
Bangladesh,BGD,1996,,-45.171,7.329,,2.16,,98.656,
Bangladesh,BGD,1997,,83.523,-1.702,,14.802,,-2.706,
Bangladesh,BGD,1998,,-71.208,8.058,,10.223,,20.306,
Bangladesh,BGD,1999,,-50.538,9.028,,-10.813,,-3.699,
Bangladesh,BGD,2000,,617.398,8.088,,-1.732,,-10.084,
Bangladesh,BGD,2001,,6.06,11.978,,19.447,,31.716,
Bangladesh,BGD,2002,,4.429,5.205,,0.419,,-25.059,
Bangladesh,BGD,1972,,,,,21.926,,,
Belarus,BLR,2014,397.007,-0.797,-0.772,,13.063,11.826,-12.844,-4.235
Belarus,BLR,2015,347.32,-11.073,-6.393,,-14.612,330.754,-8.811,18.279
Belarus,BLR,2016,187.18,9.871,-0.622,,-1.684,86.072,27.171,-0.592
Belarus,BLR,2017,240.294,3.429,2.368,,0.045,32.095,183.534,12.103
Belarus,BLR,2018,31.809,5.054,6.071,,8.513,1.465,-20.468,2.229
Belarus,BLR,2019,1.116,6.661,-0.263,,2.741,7.022,-0.369,4.122
Belarus,BLR,1986,,9.396,1.915,,18.147,,0,
Belarus,BLR,1987,,-2.771,12.875,,-1.089,,0,
Belarus,BLR,1988,,7.135,15.789,,-3.129,,0,
Belarus,BLR,1989,,-1.831,5.311,,-6.362,,0,
Belarus,BLR,1990,,-12.039,6.544,,-7.528,,0,
Belarus,BLR,1991,,-5.006,4.658,,-3.3,,-10,
Belarus,BLR,1992,,-16.713,16.128,,-14.81,,-5.556,
Belarus,BLR,1993,,-14.118,-7.218,,-28.729,,11.765,
Belarus,BLR,1994,,-29.936,-12.581,,-18.862,,0,
Belarus,BLR,1995,,-5.898,-9.59,,-9.264,,5.263,
Belarus,BLR,1996,,21.361,5.311,,-1.664,,-20,
Belarus,BLR,1997,,5.378,14.383,,-12.642,,31.25,
Belarus,BLR,1998,,-11.255,1.261,,-5.347,,33.333,
